"Security validation error: %1","Security validation error: %1"
"Unable to secure the form. The sitekey is missing.","Unable to secure the form. The sitekey is missing."
"Unable to secure the form","Unable to secure the form"
"CaptchaFox","CaptchaFox"
"Settings","Settings"
"Enabled","Enabled"
"Sitekey","Sitekey"
"Secret key","Secret key"
"Storefront","Storefront"
"Theme","Theme"
"Mode","Mode"
"Language Code","Language Code"
"Forms to validate","Forms to validate"
"Skip validation for logged in customers","Skip validation for logged in customers"
"When enabled, the widget is hidden and no captcha response is required for customers with an active session.","When enabled, the widget is hidden and no captcha response is required for customers with an active session."
"Admin Panel","Admin Panel"
"please complete the security field or wait a few seconds before submitting the form.","please validate the security field or wait a few seconds before validating."
"unable to validate the form, the secret key is missing.","unable to validate the form, the secret key is missing."
"unable to contact CaptchaFox to validate the form.","unable to contact CaptchaFox to validate the form."
"the secret parameter was not passed.","the secret parameter was not passed."
"the secret parameter was invalid or did not exist.","the secret parameter was invalid or did not exist."
"the response parameter was not passed.","the response parameter was not passed."
"the response parameter is invalid or has expired.","the response parameter is invalid or has expired."
"the request was rejected because it was malformed.","the request was rejected because it was malformed."
"the response parameter has already been validated before.","the response parameter has already been validated before."
"an internal error happened while validating the response.","an internal error happened while validating the response."
"unknown error.","unknown error."
