"Security validation error: %1","Sicherheitsüberprüfungsfehler: %1"
"Unable to secure the form. The sitekey is missing.","Das Formular konnte nicht gesichert werden. Der Sitekey fehlt."
"Unable to secure the form","Das Formular konnte nicht gesichert werden."
"CaptchaFox","CaptchaFox"
"Settings","Einstellungen"
"Enabled","Aktiviert"
"Sitekey","Sitekey"
"Secret key","Geheimer Schlüssel"
"Storefront","Shop-Frontend"
"Theme","Theme"
"Mode","Modus"
"Language Code","Sprache"
"Forms to validate","Zu validierende Formulare"
"Skip validation for logged in customers","Validierung für angemeldete Kunden überspringen"
"When enabled, the widget is hidden and no captcha response is required for customers with an active session.","Wenn aktiviert, wird das Widget für Kunden mit einer aktiven Sitzung ausgeblendet und es ist keine Captcha-Antwort erforderlich."
"Admin Panel","Adminbereich"
"please complete the security field or wait a few seconds before submitting the form.","Bitte füllen Sie das Sicherheitsfeld aus oder warten Sie einige Sekunden, bevor Sie das Formular absenden."
"unable to validate the form, the secret key is missing.","Das Formular konnte nicht validiert werden, da der geheime Schlüssel fehlt."
"unable to contact CaptchaFox to validate the form.","CaptchaFox konnte zur Validierung des Formulars nicht kontaktiert werden."
"the secret parameter was not passed.","Der Secret-Parameter wurde nicht übergeben."
"the secret parameter was invalid or did not exist.","Der Secret-Parameter war ungültig oder existierte nicht."
"the response parameter was not passed.","Der Response-Parameter wurde nicht übergeben."
"the response parameter is invalid or has expired.","Der Response-Parameter ist ungültig oder abgelaufen."
"the request was rejected because it was malformed.","Die Anfrage wurde abgelehnt, da sie fehlerhaft war."
"the response parameter has already been validated before.","Der Response-Parameter wurde bereits zuvor validiert."
"an internal error happened while validating the response.","Beim Validieren der Antwort ist ein interner Fehler aufgetreten."
"unknown error.","Unbekannter Fehler."
